run_id,evidence_tag,note,query_length_aa,threshold_bits_per_residue,threshold_bits_absolute,cpu_requested,database_sequences,database_residues,wall_seconds,user_seconds,sys_seconds,cpu_seconds_consumed,effective_cores_used,max_rss_bytes,max_rss_mb,sequences_passing_inclusion,jackhmmer_reported_mc_per_sec,throughput_residues_per_wall_second,throughput_residues_per_requested_core_second,throughput_residues_per_consumed_cpu_second
A1,cold_cache_discard,"First touch of DB file this session; discarded per methodology, kept only to quantify I/O warm-up cost",201,0.1,20.1,10,9808438,3413904443,10.96,21.75,2.57,24.32,2.219,124583936,124.6,246,62692.12,311487632.0,31148763.0,140374360.0
A2,primary_measurement,Warm-cache repeat of A1; this is the headline cpu=10 / threshold=0.1 number,201,0.1,20.1,10,9808438,3413904443,10.59,21.65,2.27,23.92,2.259,144359424,144.4,246,64886.84,322370580.0,32237058.0,142721758.0
B,cpu_scaling_low,"Same threshold as A2, cpu=4, cache warm",201,0.1,20.1,4,9808438,3413904443,10.55,21.62,0.79,22.41,2.124,74612736,74.6,246,65118.11,323592838.0,80898210.0,152338440.0
C,threshold_contrast_cpu10,"cpu=10, threshold raised to 0.5 bits/res; compare wall-clock to A2",201,0.5,100.5,10,9808438,3413904443,10.85,21.87,2.26,24.13,2.224,145473536,145.5,81,63331.91,314645571.0,31464557.0,141479670.0
D,threshold_contrast_cpu4,"cpu=4, threshold 0.5 bits/res; compare wall-clock to B",201,0.5,100.5,4,9808438,3413904443,10.6,21.7,0.8,22.5,2.123,70778880,70.8,81,64817.52,322066457.0,80516614.0,151729086.0
E,cpu_scaling_serial_diag,"Diagnostic, not requested by spec: cpu=1 baseline added after cpu=4 and cpu=10 came back statistically indistinguishable, to locate where scaling actually plateaus",201,0.1,20.1,1,9808438,3413904443,12.06,21.05,0.61,21.66,1.796,30425088,30.4,246,56930.67,283076654.0,283076654.0,157613317.0
